00000880,00000001,000ffffe,88436
00000870,00000007,00080402,88694
0000082c,00000001,000ffffe,89054
00000810,0000000a,00080402,89486
0000085c,00000001,000ffffe,89689
0000087c,00000001,000ffffe,90067
00000864,00000002,000ffffe,90497
00000834,00000002,000ffffe,90712
00000864,00000002,000ffffe,90820
00000884,00000001,000ffffe,91113
00000870,00000007,00080402,91506
00000810,0000000a,00080402,91703
0000087c,00000001,000ffffe,92063
00000834,00000002,000ffffe,92249
00000874,00000001,000ffffe,92341
00000854,00000011,00080480,92404
00000884,00000001,000ffffe,92412
00000864,00000002,000ffffe,92697
00000800,00000001,000ffffe,93110
00000814,00000001,000ffffe,93589
00000834,00000002,000ffffe,93830
00000808,00000002,000ffffe,94190
00000874,00000001,000ffffe,94609
0000082c,00000001,000ffffe,95059
0000084c,00000002,000ffffe,95557
00000810,0000000a,00080402,95814
0000084c,00000002,000ffffe,95931
00000814,00000001,000ffffe,95993
00000808,00000002,000ffffe,96026
0000085c,00000001,000ffffe,96313
00000808,00000002,000ffffe,96730
00000834,00000002,000ffffe,97210
00000844,00000001,000ffffe,97721
0000085c,00000001,000ffffe,98217
00000880,00000001,000ffffe,98705
00000840,00000011,000801ab,99205
00000870,00000007,00080403,99677
00000800,00000001,000ffffe,100152
00000874,00000001,000ffffe,100393
00000880,00000001,000ffffe,100514
0000084c,00000002,000ffffe,100576
00000834,00000002,000ffffe,100607
0000082c,00000001,000ffffe,100622
00000870,00000007,00080403,100908
00000884,00000001,000ffffe,101314
00000808,00000002,000ffffe,101793
00000810,0000000a,00080403,102312
00000874,00000001,000ffffe,102559
00000844,00000001,000ffffe,102927
00000840,00000011,000801ba,103367
00000884,00000001,000ffffe,103803
0000082c,00000001,000ffffe,104301
0000085c,00000001,000ffffe,104790
00000800,00000001,000ffffe,105035
0000082c,00000001,000ffffe,105158
00000880,00000001,000ffffe,105220
0000087c,00000001,000ffffe,105491
0000087c,00000001,000ffffe,105627
0000087c,00000001,000ffffe,105967
0000087c,00000001,000ffffe,106409
00000854,00000011,00080481,106886
00000810,0000000a,00080403,107110
00000884,00000001,000ffffe,107217
0000084c,00000002,000ffffe,107516
00000840,00000011,000801cb,107920
0000087c,00000001,000ffffe,108099
0000085c,00000001,000ffffe,108197
0000085c,00000001,000ffffe,108486
00000870,00000007,00080403,108637
00000800,00000001,000ffffe,108704
00000814,00000001,000ffffe,108741
00000834,00000002,000ffffe,108761
00000880,00000001,000ffffe,108770
00000814,00000001,000ffffe,109047
0000084c,00000002,000ffffe,109257
00000854,00000011,00080483,109579
0000085c,00000001,000ffffe,109717
00000810,0000000a,00080403,110075
00000844,00000001,000ffffe,110241
0000085c,00000001,000ffffe,110329
00000874,00000001,000ffffe,110645
00000814,00000001,000ffffe,111043
00000880,00000001,000ffffe,111514
00000874,00000001,000ffffe,111750
0000087c,00000001,000ffffe,112108
0000084c,00000002,000ffffe,112528
00000844,00000001,000ffffe,112737
0000085c,00000001,000ffffe,113114
00000870,00000007,00080403,113309
00000834,00000002,000ffffe,113399
00000810,0000000a,00080403,113455
00000864,00000002,000ffffe,113711
00000844,00000001,000ffffe,114114
00000834,00000002,000ffffe,114589
0000087c,00000001,000ffffe,115097
0000087c,00000001,000ffffe,115352
00000840,00000011,000801e7,115496
0000082c,00000001,000ffffe,115784
00000834,00000002,000ffffe,116177
0000087c,00000001,000ffffe,116644
00000814,00000001,000ffffe,117150
00000814,00000001,000ffffe,117643
00000870,00000007,00080403,117896
00000800,00000001,000ffffe,118014
00000874,00000001,000ffffe,118316
00000874,00000001,000ffffe,118707
00000880,00000001,000ffffe,118903
00000864,00000002,000ffffe,119274
00000864,00000002,000ffffe,119699
00000814,00000001,000ffffe,119911
0000084c,00000002,000ffffe,120019
00000864,00000002,000ffffe,120073
00000840,00000011,000801f8,120355
0000082c,00000001,000ffffe,120473
00000874,00000001,000ffffe,120812
00000874,00000001,000ffffe,120982
00000880,00000001,000ffffe,121307
0000084c,00000002,000ffffe,121471
00000834,00000002,000ffffe,121553
00000870,00000007,00080403,121871
00000884,00000001,000ffffe,122022
0000085c,00000001,000ffffe,122101
00000884,00000001,000ffffe,122141
0000082c,00000001,000ffffe,122401
00000880,00000001,000ffffe,122803
00000834,00000002,000ffffe,123277
0000082c,00000001,000ffffe,123513
0000082c,00000001,000ffffe,123632
00000874,00000001,000ffffe,123692
00000864,00000002,000ffffe,123963
0000085c,00000001,000ffffe,124369
0000085c,00000001,000ffffe,124573
00000814,00000001,000ffffe,124947
00000834,00000002,000ffffe,125375
00000880,00000001,000ffffe,125588
00000814,00000001,000ffffe,125967
00000840,00000011,0008020e,126173
00000808,00000002,000ffffe,126493
00000884,00000001,000ffffe,126660
0000085c,00000001,000ffffe,126984
00000810,0000000a,00080403,127427
00000800,00000001,000ffffe,127875
0000084c,00000002,000ffffe,128105
0000082c,00000001,000ffffe,128219
00000864,00000002,000ffffe,128278
0000084c,00000002,000ffffe,128547
00000844,00000001,000ffffe,128681
00000844,00000001,000ffffe,128749
00000800,00000001,000ffffe,129055
00000810,0000000a,00080403,129457
00000870,00000007,00080403,129651
00000854,00000011,00080482,129760
0000084c,00000002,000ffffe,129795
00000808,00000002,000ffffe,130060
00000880,00000001,000ffffe,130192
0000087c,00000001,000ffffe,130259
0000087c,00000001,000ffffe,130293
00000884,00000001,000ffffe,130550
00000854,00000011,00080486,130695
00000834,00000002,000ffffe,130778
00000834,00000002,000ffffe,130795
0000087c,00000001,000ffffe,130803
00000834,00000002,000ffffe,130812
