0000086c,00000002,000ffffe,81231
0000081c,00000001,000ffffe,81460
00000810,00000002,000ffffe,81816
00000818,0000000a,00080402,82002
00000854,00000002,000ffffe,82323
0000081c,00000001,000ffffe,82487
00000810,00000002,000ffffe,82571
0000085c,00000011,00080482,82628
00000888,00000001,000ffffe,82873
00000864,00000001,000ffffe,83004
00000854,00000002,000ffffe,83071
0000084c,00000001,000ffffe,83375
0000084c,00000001,000ffffe,83528
0000088c,00000001,000ffffe,83605
00000834,00000001,000ffffe,83644
0000084c,00000001,000ffffe,83664
00000894,00000001,000ffffe,83946
00000888,00000001,000ffffe,84359
00000810,00000002,000ffffe,84567
0000081c,00000001,000ffffe,84670
00000848,00000011,00080177,84978
00000810,00000002,000ffffe,85349
0000084c,00000001,000ffffe,85813
00000878,00000007,00080402,86052
00000864,00000001,000ffffe,86163
00000810,00000002,000ffffe,86223
00000884,00000001,000ffffe,86252
00000878,00000007,00080402,86545
0000081c,00000001,000ffffe,86683
0000084c,00000001,000ffffe,87027
0000085c,00000011,00080485,87487
00000878,00000007,00080402,87939
00000888,00000001,000ffffe,88436
00000878,00000007,00080402,88694
00000834,00000001,000ffffe,89054
00000818,0000000a,00080402,89486
00000864,00000001,000ffffe,89689
00000884,00000001,000ffffe,90067
0000086c,00000002,000ffffe,90497
0000083c,00000002,000ffffe,90712
0000086c,00000002,000ffffe,90820
0000088c,00000001,000ffffe,91113
00000878,00000007,00080402,91506
00000818,0000000a,00080402,91703
00000884,00000001,000ffffe,92063
0000083c,00000002,000ffffe,92249
0000087c,00000001,000ffffe,92341
0000085c,00000011,00080480,92404
0000088c,00000001,000ffffe,92412
0000086c,00000002,000ffffe,92697
00000808,00000001,000ffffe,93110
0000081c,00000001,000ffffe,93589
0000083c,00000002,000ffffe,93830
00000810,00000002,000ffffe,94190
0000087c,00000001,000ffffe,94609
00000834,00000001,000ffffe,95059
00000854,00000002,000ffffe,95557
00000818,0000000a,00080402,95814
00000854,00000002,000ffffe,95931
0000081c,00000001,000ffffe,95993
00000810,00000002,000ffffe,96026
00000864,00000001,000ffffe,96313
00000810,00000002,000ffffe,96730
0000083c,00000002,000ffffe,97210
0000084c,00000001,000ffffe,97721
00000864,00000001,000ffffe,98217
00000888,00000001,000ffffe,98705
00000848,00000011,000801ab,99205
00000878,00000007,00080403,99677
00000808,00000001,000ffffe,100152
0000087c,00000001,000ffffe,100393
00000888,00000001,000ffffe,100514
00000854,00000002,000ffffe,100576
0000083c,00000002,000ffffe,100607
00000834,00000001,000ffffe,100622
00000878,00000007,00080403,100908
0000088c,00000001,000ffffe,101314
00000810,00000002,000ffffe,101793
00000818,0000000a,00080403,102312
0000087c,00000001,000ffffe,102559
0000084c,00000001,000ffffe,102927
00000848,00000011,000801ba,103367
0000088c,00000001,000ffffe,103803
00000834,00000001,000ffffe,104301
00000864,00000001,000ffffe,104790
00000808,00000001,000ffffe,105035
00000834,00000001,000ffffe,105158
00000888,00000001,000ffffe,105220
00000884,00000001,000ffffe,105491
00000884,00000001,000ffffe,105627
00000884,00000001,000ffffe,105967
00000884,00000001,000ffffe,106409
0000085c,00000011,00080481,106886
00000818,0000000a,00080403,107110
0000088c,00000001,000ffffe,107217
00000854,00000002,000ffffe,107516
00000848,00000011,000801cb,107920
00000884,00000001,000ffffe,108099
00000864,00000001,000ffffe,108197
00000864,00000001,000ffffe,108486
00000878,00000007,00080403,108637
00000808,00000001,000ffffe,108704
0000081c,00000001,000ffffe,108741
0000083c,00000002,000ffffe,108761
00000888,00000001,000ffffe,108770
0000081c,00000001,000ffffe,109047
00000854,00000002,000ffffe,109257
0000085c,00000011,00080483,109579
00000864,00000001,000ffffe,109717
00000818,0000000a,00080403,110075
0000084c,00000001,000ffffe,110241
00000864,00000001,000ffffe,110329
0000087c,00000001,000ffffe,110645
0000081c,00000001,000ffffe,111043
00000888,00000001,000ffffe,111514
0000087c,00000001,000ffffe,111750
00000884,00000001,000ffffe,112108
00000854,00000002,000ffffe,112528
0000084c,00000001,000ffffe,112737
00000864,00000001,000ffffe,113114
00000878,00000007,00080403,113309
0000083c,00000002,000ffffe,113399
00000818,0000000a,00080403,113455
0000086c,00000002,000ffffe,113711
0000084c,00000001,000ffffe,114114
0000083c,00000002,000ffffe,114589
00000884,00000001,000ffffe,115097
00000884,00000001,000ffffe,115352
00000848,00000011,000801e7,115496
00000834,00000001,000ffffe,115784
0000083c,00000002,000ffffe,116177
00000884,00000001,000ffffe,116644
0000081c,00000001,000ffffe,117150
0000081c,00000001,000ffffe,117643
00000878,00000007,00080403,117896
00000808,00000001,000ffffe,118014
0000087c,00000001,000ffffe,118316
0000087c,00000001,000ffffe,118707
00000888,00000001,000ffffe,118903
0000086c,00000002,000ffffe,119274
0000086c,00000002,000ffffe,119699
0000081c,00000001,000ffffe,119911
00000854,00000002,000ffffe,120019
0000086c,00000002,000ffffe,120073
00000848,00000011,000801f8,120355
00000834,00000001,000ffffe,120473
0000087c,00000001,000ffffe,120812
0000087c,00000001,000ffffe,120982
00000888,00000001,000ffffe,121307
00000854,00000002,000ffffe,121471
0000083c,00000002,000ffffe,121553
00000878,00000007,00080403,121871
0000088c,00000001,000ffffe,122022
00000864,00000001,000ffffe,122101
0000088c,00000001,000ffffe,122141
00000834,00000001,000ffffe,122401
00000888,00000001,000ffffe,122803
0000083c,00000002,000ffffe,123277
00000834,00000001,000ffffe,123513
00000834,00000001,000ffffe,123632
0000087c,00000001,000ffffe,123692
0000086c,00000002,000ffffe,123963
00000864,00000001,000ffffe,124369
00000864,00000001,000ffffe,124573
0000081c,00000001,000ffffe,124947
0000083c,00000002,000ffffe,125375
00000888,00000001,000ffffe,125588
0000081c,00000001,000ffffe,125967
00000848,00000011,0008020e,126173
00000810,00000002,000ffffe,126493
0000088c,00000001,000ffffe,126660
00000864,00000001,000ffffe,126984
00000818,0000000a,00080403,127427
00000808,00000001,000ffffe,127875
00000854,00000002,000ffffe,128105
00000834,00000001,000ffffe,128219
0000086c,00000002,000ffffe,128278
00000854,00000002,000ffffe,128547
0000084c,00000001,000ffffe,128681
0000084c,00000001,000ffffe,128749
00000808,00000001,000ffffe,129055
00000818,0000000a,00080403,129457
00000878,00000007,00080403,129651
0000085c,00000011,00080482,129760
00000854,00000002,000ffffe,129795
00000810,00000002,000ffffe,130060
00000888,00000001,000ffffe,130192
00000884,00000001,000ffffe,130259
00000884,00000001,000ffffe,130293
0000088c,00000001,000ffffe,130550
0000085c,00000011,00080486,130695
0000083c,00000002,000ffffe,130778
0000083c,00000002,000ffffe,130795
00000884,00000001,000ffffe,130803
0000083c,00000002,000ffffe,130812
0000084c,00000001,000ffffe,130813
00000818,0000000a,00080403,130817
00000810,00000002,000ffffe,131087
00000818,0000000a,00080404,131232
0000081c,00000001,000ffffe,131292
00000834,00000001,000ffffe,131327
0000083c,00000002,000ffffe,131346
00000884,00000001,000ffffe,131626
00000818,0000000a,00080404,131776
0000083c,00000002,000ffffe,131839
0000084c,00000001,000ffffe,131874
00000864,00000001,000ffffe,132132
0000081c,00000001,000ffffe,132533
00000808,00000001,000ffffe,132734
0000088c,00000001,000ffffe,132835
0000088c,00000001,000ffffe,132886
00000854,00000002,000ffffe,132913
00000884,00000001,000ffffe,133197
00000834,00000001,000ffffe,133340
00000854,00000002,000ffffe,133413
00000864,00000001,000ffffe,133720
0000087c,00000001,000ffffe,134114
00000848,00000011,0008022d,134599
0000081c,00000001,000ffffe,134818
00000818,0000000a,00080404,134945
0000083c,00000002,000ffffe,135236
